mean_unexpcost,median_unexpcost,mean_return,median_return,mean_stdcost,median_stdcost,mean_pocost,median_pocost,mean_qty,median_qty,mean_return_qty,median_return_qty,mean_costsave,median_costsave,mean_spend,median_spend,mean_return_spend,median_return_spend,mean_leadtime,median_leadtime,mean_abc,median_abc,mean_source,median_source,Category,mean_late,median_late,mean_early,median_early,%Critical,SupplierID,quality_risk_mean,quality_risk_median,delivery_risk_mean,delivery_risk_median
2.0,2.0,1.10126582278,1,3.08860759494,3.0,3.08860759494,3.0,2.4025974026,2.0,1.03797468354,1.0,4.88607594937,5.0,1.49350649351,1.0,1.0253164557,1.0,2.0,2.0,3.07594936709,3,5.0,5.0,Cable/Conn/Wire,1.0,1.0,5.0,5.0,1,2467,1.0,1.0,1.35294117647,1.0
3.35555555556,4.0,1.17777777778,1,2.8,3.0,3.04444444444,3.0,3.48837209302,4.0,1.13333333333,1.0,4.11111111111,5.0,2.6511627907,3.0,1.06666666667,1.0,3.71111111111,4.0,2.15555555556,1,3.02222222222,2.0,Elect Comp,1.0,1.0,4.87096774194,5.0,1,2493,1.0,1.0,3.66666666667,5.0
2.0,2.0,1.0,1,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1,5.0,5.0,Unknown,1.0,1.0,5.0,5.0,1,2493,1.0,1.0,3.66666666667,5.0
1.66666666667,2.0,1.0,1,4.88888888889,5.0,4.88888888889,5.0,1.88888888889,1.0,1.0,1.0,2.22222222222,2.0,2.11111111111,2.0,1.0,1.0,2.44444444444,3.0,2.77777777778,1,3.0,2.0,Accessories/OEM,1.0,1.0,5.0,5.0,2,2500,1.41666666667,1.0,1.125,1.0
2.5,2.5,1.0,1,3.0,3.0,3.0,3.0,2.5,2.5,1.0,1.0,3.0,3.0,1.16666666667,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5.0,Cable/Conn/Wire,1.0,1.0,5.0,5.0,1,2608,1.0,1.0,1.0,1.0
2.0,2.0,1.0,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,Unknown,1.0,1.0,1.0,1.0,1,2608,1.0,1.0,1.0,1.0
5.0,5.0,1.0,1,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,2.0,2.0,Fabrication,1.0,1.0,5.0,5.0,1,2675,1.23076923077,1.0,1.84615384615,1.0
2.07894736842,2.0,1.0,1,5.0,5.0,5.0,5.0,1.05263157895,1.0,1.0,1.0,3.07894736842,3.0,2.73684210526,3.0,1.0,1.0,1.86842105263,2.0,4.05263157895,5,5.0,5.0,Accessories/OEM,1.0,1.0,4.92307692308,5.0,2,2675,1.23076923077,1.0,1.84615384615,1.0
2.00751879699,2.0,1.03007518797,1,2.68421052632,3.0,2.68045112782,3.0,2.75,2.0,1.01127819549,1.0,2.65413533835,3.0,2.02651515152,2.0,1.0037593985,1.0,2.67669172932,3.0,4.43609022556,5,4.98872180451,5.0,Elect Comp,1.0,1.0,4.71929824561,5.0,1,2707,1.0,1.0,1.13043478261,1.0
2.54263565891,2.0,1.51162790698,1,4.99612403101,5.0,4.99612403101,5.0,1.24444444444,1.0,1.01162790698,1.0,3.93410852713,5.0,2.12888888889,2.0,1.03875968992,1.0,2.00775193798,2.0,4.52713178295,5,4.04651162791,5.0,Fabrication,1.0,1.0,4.45454545455,5.0,2,2923,2.05,2.0,3.6,4.0
2.0,2.0,1.0,1,3.0,3.0,3.0,3.0,1.625,1.5,1.0,1.0,2.75,3.0,1.125,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,Fabrication,1.0,1.0,4.0,5.0,1,2972,1.28571428571,1.0,1.57142857143,1.0
2.0,2.0,1.0,1,4.0,4.0,4.0,4.0,1.10526315789,1.0,1.0,1.0,3.0,3.0,1.26315789474,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,Cable/Conn/Wire,1.25,1.0,3.66666666667,5.0,1,2972,1.28571428571,1.0,1.57142857143,1.0
1.0,1.0,1.0,1,2.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,Fabrication,1.0,1.0,5.0,5.0,1,3999,1.0,1.0,1.0,1.0
2.03773584906,2.0,1.14016172507,1,3.19137466307,3.0,3.19137466307,3.0,1.9748603352,2.0,1.04043126685,1.0,3.05121293801,3.0,1.66201117318,2.0,1.03234501348,1.0,1.99730458221,2.0,4.90835579515,5,4.93261455526,5.0,Elect Comp,1.0,1.0,5.0,5.0,1,4529,1.0,1.0,3.04545454545,3.5
2.5,2.5,1.0,1,4.5,4.5,4.5,4.5,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2.5,2.5,1.0,1,2.0,2.0,Unknown,1.0,1.0,5.0,5.0,1,7242,1.04166666667,1.0,1.58333333333,1.0
3.0,3.0,1.0,1,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1,2.0,2.0,Fabrication,1.0,1.0,5.0,5.0,1,7242,1.04166666667,1.0,1.58333333333,1.0
