mean_stdcost,median_stdcost,mean_pocost,median_pocost,mean_qty,median_qty,mean_return_qty,median_return_qty,mean_costsave,median_costsave,mean_spend,median_spend,mean_return_spend,median_return_spend,mean_leadtime,median_leadtime,mean_abc,median_abc,mean_source,median_source,num_orders_purch,num_returns_purch,Supplier ID,Category,mean_late,median_late,mean_early,median_early,num_transactions_expo,%Late,%Early,%Critical
2.5516372796,3.0,3.01259445844,3.0,3.00755667506,3.0,1.1234256927,1.0,4.28967254408,5.0,2.23929471033,2.0,1.08060453401,1.0,3.60201511335,4.0,2.91435768262,3,2.27959697733,2.0,369,28,S035,Elect Comp,1.03846153846,1.0,4.78846153846,4.78846153846,156,1,5,1
2.33333333333,2.0,3.0,3.0,3.33333333333,3.0,1.0,1.0,3.0,3.0,1.66666666667,2.0,1.0,1.0,3.66666666667,4.0,1.66666666667,1,2.66666666667,2.0,3,0,S035,Unknown,1.0,1.0,5.0,5.0,2,1,5,1
2.5,2.5,2.5,2.5,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1,3.5,3.5,2,0,S035,Accessories/OEM,1.0,1.0,5.0,5.0,1,1,5,1
1.85714285714,2.0,2.42857142857,2.0,3.42857142857,4.0,1.0,1.0,4.71428571429,5.0,1.71428571429,2.0,1.0,1.0,3.42857142857,4.0,2.42857142857,3,2.14285714286,2.0,7,0,S035,Cable/Conn/Wire,1.0,1.0,5.0,5.0,2,1,5,1
3.0,3.0,3.0,3.0,2.5,2.5,1.0,1.0,3.0,3.0,1.16666666667,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5.0,6,0,S036,Cable/Conn/Wire,1.0,1.0,5.0,5.0,3,1,5,1
1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,1,0,S036,Unknown,1.0,1.0,1.0,1.0,1,1,1,1
1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5.0,1,0,S037,Cable/Conn/Wire,1.0,1.0,5.0,5.0,1,1,5,5
1.11894273128,1.0,1.10462555066,1.0,3.6795154185,4.0,1.02863436123,1.0,1.54295154185,1.0,1.01872246696,1.0,1.0,1.0,2.00440528634,2.0,1.11674008811,1,4.51762114537,5.0,898,10,S040,Elect Comp,1.00675675676,1.0,4.74324324324,4.74324324324,592,1,5,1
1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,3,0,S040,Unknown,1.0,1.0,5.0,5.0,3,1,5,1
4.0,4.0,4.0,4.0,2.85714285714,3.0,1.0,1.0,4.16326530612,5.0,2.36734693878,2.0,1.02040816327,1.0,1.91836734694,2.0,4.30612244898,5,3.22448979592,2.0,47,2,S043,Fabrication,1.0,1.0,4.67857142857,4.67857142857,28,1,5,1
4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,9,0,S046,Cable/Conn/Wire,1.0,1.0,5.0,5.0,1,1,5,5
2.9,3.0,2.9,3.0,1.7,1.0,1.0,1.0,3.0,3.0,1.3,1.0,1.0,1.0,2.8,2.5,1.0,1,5.0,5.0,10,0,S047,Unknown,1.0,1.0,5.0,5.0,11,1,5,1
2.91448058762,3.0,2.92077649528,3.0,2.50629590766,3.0,1.01154249738,1.0,2.5519412382,3.0,1.49475341028,1.0,1.00419727177,1.0,2.00262329486,2.0,3.30640083945,3,4.72612801679,5.0,1887,19,S047,Cable/Conn/Wire,1.02508178844,1.0,4.73282442748,4.73282442748,917,1,5,3
2.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3,2.0,2.0,2,0,S050,Elect Comp,1.0,1.0,5.0,5.0,1,1,5,1
2.5,2.5,2.5,2.5,1.75,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1,3.5,3.5,4,0,S050,Fabrication,1.0,1.0,5.0,5.0,2,1,5,1
2.5,3.0,2.5,3.0,1.71428571429,1.0,1.0,1.0,2.5,3.0,1.07142857143,1.0,1.0,1.0,1.14285714286,1.0,1.0,1,4.35714285714,5.0,14,0,S050,Cable/Conn/Wire,1.0,1.0,5.0,5.0,6,1,5,1
4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,5.0,5.0,1.5,1.5,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,2,0,S051,Fabrication,1.0,1.0,5.0,5.0,1,1,5,5
5.0,5.0,5.0,5.0,2.0,2.0,1.0,1.0,5.0,5.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,3,5.0,5.0,4,0,S053,Antenna,1.0,1.0,5.0,5.0,4,1,5,1
3.0,3.0,3.0,3.0,1.12,1.0,1.04,1.0,2.96,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5.0,24,1,S053,Cable/Conn/Wire,1.0,1.0,5.0,5.0,21,1,5,1
5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,4.42857142857,5.0,2.21428571429,2.0,1.07142857143,1.0,2.0,2.0,1.0,1,5.0,5.0,13,1,S054,Antenna,1.0,1.0,5.0,5.0,6,1,5,2
3.37837837838,3.0,3.94594594595,4.0,1.59459459459,1.0,1.05405405405,1.0,3.67567567568,3.0,1.64864864865,2.0,1.02702702703,1.0,1.75675675676,2.0,1.48648648649,1,2.18918918919,2.0,36,1,S057,Raw PCB,1.0,1.0,4.875,4.875,56,1,5,1
3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,4.28571428571,5.0,1.57142857143,2.0,1.0,1.0,4.0,4.0,1.0,1,2.0,2.0,7,0,S058,Antenna,1.0,1.0,5.0,5.0,5,1,5,1
2.0,2.0,2.0,2.0,2.625,3.0,1.0,1.0,3.375,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,2.0,2.0,7,1,S059,OCF,1.0,1.0,5.0,5.0,2,1,5,1
2.33333333333,2.0,2.33333333333,2.0,3.66666666667,4.0,1.0,1.0,3.0,3.0,1.33333333333,1.0,1.0,1.0,2.0,2.0,1.66666666667,1,2.0,2.0,3,0,S059,Elect Comp,1.0,1.0,5.0,5.0,2,1,5,1
5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,2.0,2.0,1,0,S060,Cable/Conn/Wire,1.5,1.0,3.0,3.0,4,2,3,2
2.92635658915,3.0,3.12403100775,3.0,1.73255813953,1.0,1.05426356589,1.0,3.7519379845,5.0,1.33333333333,1.0,1.01937984496,1.0,1.75581395349,2.0,2.42635658915,1,2.87209302326,2.0,241,17,S060,Elect Comp,1.0303030303,1.0,4.12121212121,4.12121212121,132,1,4,1
2.57303370787,3.0,2.5393258427,3.0,2.12359550562,2.0,1.06741573034,1.0,4.37078651685,5.0,1.14606741573,1.0,1.02247191011,1.0,1.2808988764,1.0,1.26966292135,1,2.91011235955,2.0,84,5,S060,Magnetics,1.0,1.0,4.48888888889,4.48888888889,45,1,5,1
1.66666666667,2.0,1.73333333333,2.0,2.66666666667,3.0,1.0,1.0,3.53333333333,4.0,1.0,1.0,1.0,1.0,2.26666666667,2.0,1.0,1,2.86666666667,2.0,15,0,S062,Fabrication,1.0,1.0,5.0,5.0,4,1,5,1
3.0,3.0,3.0,3.0,2.6,3.0,1.0,1.0,3.0,3.0,1.8,2.0,1.0,1.0,2.0,2.0,3.0,3,5.0,5.0,5,0,S064,Unknown,1.0,1.0,5.0,5.0,1,1,5,1
5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,4.25,4.5,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,4,0,S066,Accessories,1.0,1.0,5.0,5.0,2,1,5,3
5.0,5.0,5.0,5.0,1.24,1.0,1.04,1.0,1.56,1.0,3.32,3.5,1.46,1.0,2.0,2.0,1.0,1,5.0,5.0,43,7,S066,Accessories/OEM,1.0,1.0,5.0,5.0,12,1,5,1
1.46153846154,1.0,1.61538461538,1.0,3.76923076923,4.0,1.07692307692,1.0,4.07692307692,5.0,1.46153846154,1.0,1.0,1.0,3.07692307692,2.0,2.38461538462,3,2.30769230769,2.0,12,1,S073,Elect Comp,1.0,1.0,5.0,5.0,5,1,5,1
5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1,2.0,2.0,1,0,S077,Cable/Conn/Wire,1.0,1.0,5.0,5.0,1,1,5,1
5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,1.0,1.0,3.0,3.0,1.0,1,5.0,5.0,2,0,S077,Accessories/OEM,1.0,1.0,5.0,5.0,1,1,5,1
1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2.0,2.0,1,0,S080,Elect Comp,1.0,1.0,5.0,5.0,1,1,5,1
