mean_unexpcost,median_unexpcost,mean_return,median_return,mean_stdcost,median_stdcost,mean_pocost,median_pocost,mean_qty,median_qty,mean_return_qty,median_return_qty,mean_costsave,median_costsave,mean_spend,median_spend,mean_return_spend,median_return_spend,mean_leadtime,median_leadtime,mean_abc,median_abc,mean_source,median_source,num_orders_purch,num_returns_purch,Category,mean_late,median_late,mean_early,median_early,num_transactions_expo,%Late,%Early,%Critical,SupplierID,quality_risk_mean,quality_risk_median,delivery_risk_mean,delivery_risk_median
3.0,3.0,1.0,1,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3,2.0,2.0,0,1,OCF,1.0,1.0,5.0,5.0,1,1,5,1,2269,1.0,1.0,1.0,1.0
4.0,4.0,1.0,1,1.0,1.0,1.0,1.0,4.5,4.5,1.0,1.0,4.5,4.5,1.5,1.5,1.0,1.0,2.0,2.0,5.0,5,2.0,2.0,0,2,Fabrication,1.0,1.0,5.0,5.0,2,1,5,1,2269,1.0,1.0,1.0,1.0
3.25,3.5,1.0,1,1.25,1.0,1.25,1.0,4.0,4.0,1.0,1.0,3.75,4.5,1.0,1.0,1.0,1.0,3.0,2.5,1.5,1,1.5,1.5,0,4,Elect Comp,1.0,1.0,5.0,5.0,4,1,5,1,2269,1.0,1.0,1.0,1.0
1.2857142857142858,1.0,1.0,1,1.8571428571428572,2.0,1.8571428571428572,2.0,2.2857142857142856,2.0,1.0,1.0,1.7142857142857142,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.2857142857142856,3,4.571428571428571,5.0,0,7,Cable/Conn/Wire,1.0,1.0,5.0,5.0,6,1,5,1,2269,1.0,1.0,1.0,1.0
1.875,1.0,1.0,1,3.875,4.0,3.875,4.0,1.0,1.0,1.0,1.0,3.125,3.5,1.125,1.0,1.0,1.0,1.125,1.0,1.0,1,3.5,3.5,0,8,Antenna,1.0,1.0,4.166666666666667,5.0,6,1,5,2,2420,1.7083333333333333,1.0,3.1666666666666665,3.0
2.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1,5.0,5.0,0,1,Accessories/OEM,1.0,1.0,5.0,5.0,1,1,5,1,2420,1.7083333333333333,1.0,3.1666666666666665,3.0
5.0,5.0,1.0,1,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5.0,0,1,Accessories,1.0,1.0,5.0,5.0,1,1,5,5,2420,1.7083333333333333,1.0,3.1666666666666665,3.0
2.5,2.0,1.0,1,4.375,5.0,4.25,5.0,2.25,2.0,1.0,1.0,3.0,3.0,2.375,2.0,1.0,1.0,1.125,1.0,1.0,1,4.625,5.0,0,8,Indirect,1.0,1.0,5.0,5.0,3,1,5,4,2420,1.7083333333333333,1.0,3.1666666666666665,3.0
2.1153846153846154,2.0,1.0,1,3.769230769230769,4.0,3.8076923076923075,4.0,1.8076923076923077,1.5,1.0,1.0,2.980769230769231,3.0,1.6730769230769231,2.0,1.0,1.0,1.8461538461538463,2.0,1.0769230769230769,1,4.826923076923077,5.0,0,52,Unknown,1.0,1.0,4.650793650793651,5.0,63,1,5,1,2420,1.7083333333333333,1.0,3.1666666666666665,3.0
2.1008591707134854,2.0,1.11430706014195,1,3.4516249533059393,3.0,3.4514381770638773,3.0,1.8263795423956932,2.0,1.0089652596189764,1.0,2.73048188270452,3.0,1.4310709478946357,1.0,1.0106462457975345,1.0,1.8035113933507658,2.0,3.0642510272693313,3,4.3954053044452746,5.0,153,5201,Fabrication,1.0087944301942102,1.0,4.7368999633565405,5.0,2729,1,5,2,2420,1.7083333333333333,1.0,3.1666666666666665,3.0
2.0,2.0,1.1012658227848102,1,3.088607594936709,3.0,3.088607594936709,3.0,2.4025974025974026,2.0,1.0379746835443038,1.0,4.886075949367089,5.0,1.4935064935064934,1.0,1.0253164556962024,1.0,2.0,2.0,3.0759493670886076,3,5.0,5.0,2,77,Cable/Conn/Wire,1.0,1.0,5.0,5.0,40,1,5,1,2467,1.0,1.0,1.3529411764705883,1.0
